Cádiz-R. Madrid,4-3-3,CHERYSHEV	JESÉ	JAMES	ISCO	CASEMIRO	LLORENTE	ARBELOA	NACHO	PEPE	VÁZQUEZ	CASILLA	
Eibar-R. Madrid,4-4-2,RONALDO	BALE	KOVACIC	KROOS	MODRIC	JAMES	DANILO	NACHO	PEPE	CARVAJAL	NAVAS	
Shakhtar D.-R. Madrid,4-3-3,BALE	RONALDO	ISCO	KOVACIC	CASEMIRO	MODRIC	NACHO	VARANE	PEPE	CARVAJAL	CASILLA	
R. Madrid-Barcelona,4-2-3-1,NAVAS	DANILO	VARANE	RAMOS	MARCELO	MODRIC	KROOS	JAMES	ISCO	BALE	RONALDO	
Sevilla-R. Madrid,4-3-3,RONALDO	BALE	ISCO	KROOS	CASEMIRO	MODRIC	NACHO	RAMOS	PEPE	DANILO	CASILLA	
R. Madrid-PSG,4-3-3,NAVAS	DANILO	VARANE	RAMOS	MARCELO	MODRIC	CASEMIRO	KROOS	ISCO	RONALDO	JESÉ	
R. Madrid-Las Palmas,4-3-3,CASILLA	DANILO	VARANE	NACHO	MARCELO	MODRIC	CASEMIRO	KROOS	ISCO	RONALDO	JESÉ	
Celta-R. Madrid,4-3-3,JESÉ	RONALDO	VÁZQUEZ	KROOS	CASEMIRO	MODRIC	MARCELO	RAMOS	VARANE	DANILO	NAVAS	
PSG-R. Madrid,4-4-2,RONALDO	ISCO	JESÉ	KROOS	CASEMIRO	VÁZQUEZ	MARCELO	VARANE	RAMOS	DANILO	NAVAS	
R. Madrid-Levante,4-3-3,NAVAS	DANILO	VARANE	NACHO	MARCELO	KROOS	CASEMIRO	KOVACIC	ISCO	RONALDO	BALE	
Atlético-R. Madrid,4-3-3,RONALDO	BENZEMA	ISCO	MODRIC	CASEMIRO	KROOS	MARCELO	RAMOS	VARANE	CARVAJAL	NAVAS	
Malmoe-R. Madrid,4-2-3-1,BENZEMA	RONALDO	KOVACIC	ISCO	KROOS	CASEMIRO	ARBELOA	NACHO	VARANE	CARVAJAL	NAVAS	
R. Madrid-Málaga,4-3-3,NAVAS	CARVAJAL	VARANE	NACHO	MARCELO	MODRIC	KROOS	ISCO	JESÉ	BENZEMA	RONALDO	
Athletic-R. Madrid,4-2-3-1,BENZEMA	RONALDO	KOVACIC	ISCO	KROOS	MODRIC	MARCELO	VARANE	PEPE	CARVAJAL	NAVAS	
R. Madrid-Granada,4-2-3-1,NAVAS	CARVAJAL	PEPE	VARANE	MARCELO	MODRIC	KROOS	VÁZQUEZ	ISCO	RONALDO	BENZEMA	
R. Madrid-Shakhtar D.,4-2-3-1,NAVAS	CARVAJAL	VARANE	RAMOS	MARCELO	MODRIC	KROOS	ISCO	BALE	RONALDO	BENZEMA	
Espanyol-R. Madrid,4-2-3-1,BENZEMA	RONALDO	BALE	ISCO	MODRIC	CASEMIRO	MARCELO	RAMOS	PEPE	CARVAJAL	NAVAS	
R. Madrid-Betis,4-2-3-1,NAVAS	DANILO	VARANE	RAMOS	MARCELO	MODRIC	KROOS	JAMES	BALE	RONALDO	BENZEMA	
Sporting-R. Madrid,4-2-3-1,JESÉ	RONALDO	BALE	ISCO	MODRIC	KROOS	MARCELO	RAMOS	VARANE	DANILO	NAVAS	
