Rayo-Atlético,4-3-3,CARRASCO	TORRES	GRIEZMANN	TORRES	SAÚL	KOKE	GÁMEZ	GODÍN	GIMÉNEZ	JUANFRAN	OBLAK	
Málaga-Atlético,4-1-4-1,VIETTO	CARRASCO	SAÚL	KOKE	GRIEZMANN	GABI	FILIPE	GODÍN	GIMÉNEZ	JUANFRAN	OBLAK	
Atlético-Reus,4-1-4-1,MOYÁ	GÁMEZ	SAVIC	LUCAS	SIQUEIRA	SAÚL	TORRES	THOMAS	KOKE	CORREA	TORRES	
Atlético-Athletic,4-4-2,OBLAK	JUANFRAN	GIMÉNEZ	GODÍN	LUÍS	SAÚL	GABI	KOKE	CARRASCO	VIETTO	GRIEZMANN	
Benfica-Atlético,4-3-3,GRIEZMANN	VIETTO	CARRASCO	SAÚL	GABI	KOKE	LUÍS	GODÍN	SAVIC	JUANFRAN	OBLAK	
Granada-Atlético,4-3-3,CARRASCO	TORRES	GRIEZMANN	KOKE	SAÚL	GABI	LUÍS	GODÍN	GIMÉNEZ	JUANFRAN	OBLAK	
Reus-Atlético,4-3-3,CORREA	VIETTO	THOMAS	KOKE	SAÚL	TORRES	SIQUEIRA	LUCAS	SAVIC	GÁMEZ	MOYÁ	
Atlético-Espanyol,4-4-2,OBLAK	JUANFRAN	GIMÉNEZ	GODÍN	LUÍS	TORRES	TIAGO	SAÚL	KOKE	GRIEZMANN	VIETTO	
Atlético-Galatasaray,4-4-2,OBLAK	GÁMEZ	GIMÉNEZ	GODÍN	LUÍS	KOKE	GABI	TIAGO	CARRASCO	TORRES	GRIEZMANN	
Betis-Atlético,4-3-3,CARRASCO	TORRES	GRIEZMANN	KOKE	TIAGO	GABI	LUÍS	GODÍN	SAVIC	GÁMEZ	OBLAK	
Atlético-Sporting,4-4-2,OBLAK	JUANFRAN	SAVIC	GODÍN	LUÍS	KOKE	GABI	TIAGO	CARRASCO	MARTÍNEZ	GRIEZMANN	
Astana-Atlético,4-4-2,GRIEZMANN	TORRES	KOKE	TIAGO	GABI	SAÚL	SIQUEIRA	GODÍN	GIMÉNEZ	JUANFRAN	OBLAK	
Deportivo-Atlético,4-4-2,MARTÍNEZ	GRIEZMANN	FERREIRA-CARRASCO	TIAGO	GABI	KOKE	LUÍS	GODÍN	GIMÉNEZ	JUANFRAN	OBLAK	
Atlético-Valencia,4-4-2,OBLAK	JUANFRAN	GIMÉNEZ	GODÍN	LUÍS	FERREIRA-CARRASCO	GABI	TIAGO	KOKE	GRIEZMANN	MARTÍNEZ	
Atlético-Astana,4-4-2,OBLAK	JUANFRAN	SAVIC	GODÍN	SIQUEIRA	FERREIRA-CARRASCO	TIAGO	GABI	SAÚL	MARTÍNEZ	GRIEZMANN	
R. Sociedad-Atlético,4-4-2,MARTÍNEZ	GRIEZMANN	KOKE	TIAGO	GABI	CORREA	LUÍS	GODÍN	GIMÉNEZ	JUANFRAN	OBLAK	
Atlético-R. Madrid,4-4-2,OBLAK	JUANFRAN	GIMÉNEZ	GODÍN	LUÍS	GRIEZMANN	GABI	TIAGO	TORRES	CORREA	TORRES	
Atlético-Benfica,4-3-3,OBLAK	JUANFRAN	GIMÉNEZ	GODÍN	LUÍS	GABI	TIAGO	TORRES	GRIEZMANN	MARTÍNEZ	CORREA	
Villarreal-Atlético,4-4-2,GRIEZMANN	MARTÍNEZ	SAÚL	TIAGO	GABI	TORRES	LUÍS	GODÍN	GIMÉNEZ	GÁMEZ	OBLAK	
Atlético-Getafe,4-4-2,OBLAK	JUANFRAN	SAVIC	GODÍN	SIQUEIRA	TORRES	GABI	SAÚL	FERREIRA-CARRASCO	TORRES	GRIEZMANN	
Eibar-Atlético,4-3-3,GRIEZMANN	MARTÍNEZ	VIETTO	GABI	TIAGO	KOKE	LUÍS	GODÍN	GIMÉNEZ	JUANFRAN	OBLAK	
Galatasaray-Atlético,4-4-2,MARTÍNEZ	VIETTO	KOKE	SAÚL	TIAGO	GRIEZMANN	SIQUEIRA	GODÍN	GIMÉNEZ	JUANFRAN	OBLAK	
Atlético-Barcelona,4-4-2,OBLAK	JUANFRAN	GIMÉNEZ	GODÍN	LUÍS	TORRES	GABI	TIAGO	KOKE	TORRES	GRIEZMANN	
Sevilla-Atlético,4-4-2,TORRES	GRIEZMANN	KOKE	TIAGO	GABI	TORRES	GÁMEZ	GODÍN	GIMÉNEZ	JUANFRAN	OBLAK	
Atlético-Las Palmas,4-4-2,OBLAK	JUANFRAN	GIMÉNEZ	GODÍN	LUÍS	TORRES	GABI	TIAGO	KOKE	MARTÍNEZ	GRIEZMANN	
